"Provincia","Suicidio","Año 2003/Enero","Año 2003/Febrero","Año 2003/Marzo","Año 2003/Abril","Año 2003/Mayo","Año 2003/Junio","Año 2003/Julio","Año 2003/Agosto","Año 2003/Septiembre","Año 2003/Octubre","Año 2003/Noviembre","Año 2003/Diciembre","Año 2004/Enero","Año 2004/Febrero","Año 2004/Marzo","Año 2004/Abril","Año 2004/Mayo","Año 2004/Junio","Año 2004/Julio","Año 2004/Agosto","Año 2004/Septiembre","Año 2004/Octubre","Año 2004/Noviembre","Año 2004/Diciembre","Año 2005/Enero","Año 2005/Febrero","Año 2005/Marzo","Año 2005/Abril","Año 2005/Mayo","Año 2005/Junio","Año 2005/Julio","Año 2005/Agosto","Año 2005/Septiembre","Año 2005/Octubre","Año 2005/Noviembre","Año 2005/Diciembre","Año 2006/Enero","Año 2006/Febrero","Año 2006/Marzo","Año 2006/Abril","Año 2006/Mayo","Año 2006/Junio","Año 2006/Julio","Año 2006/Agosto","Año 2006/Septiembre","Año 2006/Octubre","Año 2006/Noviembre","Año 2006/Diciembre","Año 2007/Enero","Año 2007/Febrero","Año 2007/Marzo","Año 2007/Abril","Año 2007/Mayo","Año 2007/Junio","Año 2007/Julio","Año 2007/Agosto","Año 2007/Septiembre","Año 2007/Octubre","Año 2007/Noviembre","Año 2007/Diciembre","Año 2008/Enero","Año 2008/Febrero","Año 2008/Marzo","Año 2008/Abril","Año 2008/Mayo","Año 2008/Junio","Año 2008/Julio","Año 2008/Agosto","Año 2008/Septiembre","Año 2008/Octubre","Año 2008/Noviembre","Año 2008/Diciembre","Año 2009/Febrero","Año 2009/Marzo","Año 2009/Abril","Año 2009/Mayo","Año 2009/Junio","Año 2009/Julio","Año 2009/Agosto","Año 2009/Septiembre","Año 2009/Octubre","Año 2009/Noviembre","Año 2009/Diciembre","Año 2010/Enero","Año 2010/Febrero","Año 2010/Marzo","Año 2010/Abril","Año 2010/Mayo","Año 2010/Junio","Año 2010/Julio","Año 2010/Agosto","Año 2010/Septiembre","Año 2010/Octubre","Año 2010/Noviembre","Año 2010/Diciembre","Año 2011/Enero","Año 2011/Febrero","Año 2011/Marzo","Año 2011/Abril","Año 2011/Mayo","Año 2011/Junio","Año 2011/Julio","Año 2011/Agosto","Año 2011/Septiembre","Año 2011/Octubre","Año 2011/Noviembre","Año 2011/Diciembre","Año 2012/Enero","Año 2012/Febrero","Año 2012/Marzo","Año 2012/Abril","Año 2012/Mayo","Año 2012/Junio","Año 2012/Julio","Año 2012/Agosto","Año 2012/Septiembre","Año 2012/Octubre","Año 2012/Noviembre","Año 2012/Diciembre","Año 2013/Enero","Año 2013/Febrero","Año 2013/Marzo","Año 2013/Abril","Año 2013/Mayo","Año 2013/Junio","Año 2013/Julio","Año 2013/Agosto","Año 2013/Septiembre","Año 2013/Octubre","Año 2013/Noviembre","Año 2013/Diciembre","Año 2014/Enero","Año 2014/Febrero","Año 2014/Marzo","Año 2014/Abril","Año 2014/Mayo","Año 2014/Junio","Año 2014/Julio","Año 2014/Agosto","Año 2014/Septiembre","Año 2014/Octubre","Año 2014/Noviembre","Año 2014/Diciembre","Año 2015/Enero","Año 2015/Febrero","Año 2015/Marzo","Año 2015/Abril","Año 2015/Mayo","Año 2015/Junio","Año 2015/Julio","Año 2015/Agosto","Año 2015/Septiembre","Año 2015/Octubre","Año 2015/Noviembre","Año 2015/Diciembre","Año 2016/Enero","Año 2016/Febrero","Año 2016/Marzo","Año 2016/Abril","Año 2016/Mayo","Año 2016/Junio","Año 2016/Julio","Año 2016/Agosto","Año 2016/Septiembre","Año 2016/Octubre","Año 2016/Noviembre","Año 2016/Diciembre","Año 2017/Enero","Año 2017/Febrero","Año 2017/Marzo","Año 2017/Abril","Año 2017/Mayo","Año 2017/Junio","Año 2017/Julio","Año 2017/Agosto","Año 2017/Septiembre","Año 2017/Octubre","Año 2017/Noviembre","Año 2017/Diciembre","Año 2018/Enero","Año 2018/Febrero","Año 2018/Marzo","Año 2018/Abril","Año 2018/Mayo","Año 2018/Junio","Año 2018/Julio","Año 2018/Agosto","Año 2018/Septiembre","Año 2018/Octubre","Año 2018/Noviembre","Año 2018/Diciembre","Año 2019/Enero","Año 2019/Febrero","Año 2019/Marzo","Año 2019/Abril","Año 2019/Mayo","Año 2019/Junio","Año 2019/Julio","Año 2019/Agosto","Año 2019/Septiembre","Año 2019/Octubre","Año 2019/Noviembre","Año 2019/Diciembre","Año 2020/Enero","Año 2020/Febrero","Año 2020/Marzo","Año 2020/Abril","Año 2020/Mayo","Año 2020/Junio","Año 2020/Julio","Año 2020/Agosto","Año 2020/Septiembre","Año 2020/Octubre","Año 2020/Noviembre","Año 2020/Diciembre","Año 2021/Enero","Año 2021/Febrero","Año 2021/Marzo","Año 2021/Abril","Año 2021/Mayo","Año 2021/Junio","Año 2021/Julio","Año 2021/Agosto","Año 2021/Septiembre","Año 2021/Octubre","Año 2021/Noviembre","Año 2021/Diciembre","Año 2022/Enero","Año 2022/Febrero","Año 2022/Marzo","Año 2022/Abril","Año 2022/Mayo","Año 2022/Junio","Año 2022/Julio","Año 2022/Agosto","Año 2022/Septiembre","Año 2022/Octubre","Año 2022/Noviembre","Año 2022/Diciembre","Año 2023/Enero","Año 2023/Febrero","Año 2023/Marzo","Año 2023/Abril","Año 2023/Mayo","Año 2023/Junio","Año 2023/Julio","Año 2023/Agosto","Año 2023/Septiembre","Año 2023/Octubre","Año 2023/Noviembre"
"Asturias","No hubo tentativa","","","","","","1.0","","","1.0","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","1.0","","","","","","","","","","","1.0","","","","1.0","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","1.0","","2.0","","","","","1.0","","","","","","","","","1.0","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","1.0","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","",""
"Asturias","Suicidio consumado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Asturias","Tentativa no consumada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Illes Balears","No hubo tentativa","","","","","","","","","","","1.0","","1.0","1.0","","","","","","","","","","","1.0","","1.0","","","","","1.0","","","","","1.0","","","","","","1.0","","","1.0","","","1.0","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","1.0","","","1.0","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","1.0","","","","1.0","","","","","","","","","","","","","","","","","1.0","","","","1.0","","","","","","","","","","","","","","","","","","1.0","","1.0","","1.0","","","1.0","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","1.0","","","","","","","","","","1.0","","","","","","","","","","1.0","","","","1.0","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Illes Balears","Suicidio consumado","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Illes Balears","Tentativa no consumada","","","","","","","","2.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Las Palmas","No hubo tentativa","","","","1.0","","","","","","","","1.0","","","","","","","1.0","","","","","","","","","1.0","","","","","","1.0","1.0","","","","","1.0","1.0","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","1.0","","","","","","1.0","","","","","","","","","1.0","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","2.0","","","","1.0","","","1.0","","","1.0","","","","","","","","","","","","","","","","","","","1.0","","","1.0","","","","","","","","","","","","1.0","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Las Palmas","Suicidio consumado","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","",""
"Las Palmas","Tentativa no consumada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Santa Cruz de Tenerife","No hubo tentativa","1.0","","","","","","","2.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","2.0","","1.0","","","","","","","","","","","","1.0","","","","1.0","","1.0","","1.0","","","","","","","","","","","","","1.0","1.0","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","1.0","","","","","","","1.0","","","","","","","","","","","","","","","1.0","","1.0","","","1.0","","","","","","","","","","","","1.0","1.0","","1.0","","","","","","","1.0","","","","","","","","1.0","","1.0","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","1.0","","","","","","","1.0","","",""
"Santa Cruz de Tenerife","Suicidio consumado","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","1.0","","","","","","","","","","","","","","1.0","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Santa Cruz de Tenerife","Tentativa no consumada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","1.0","","1.0","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","",""
"Cantabria","No hubo tentativa","","","","","","","","","","","","","","","","","","","","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","1.0","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","",""
"Cantabria","Suicidio consumado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cantabria","Tentativa no consumada","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ávila","No hubo tentativa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ávila","Tentativa no consumada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","",""
"Burgos","No hubo tentativa","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","1.0","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Burgos","Suicidio consumado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"León","No hubo tentativa","","","","","","","","","","","1.0","","","","","","1.0","","","","1.0","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","1.0","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"León","Suicidio consumado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"León","Tentativa no consumada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Palencia","No hubo tentativa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Palencia","Suicidio consumado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","",""
"Palencia","Tentativa no consumada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Salamanca","No hubo tentativa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Salamanca","Suicidio consumado","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Salamanca","Tentativa no consumada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","",""
"Segovia","Suicidio consumado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Segovia","Tentativa no consumada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Soria","No hubo tentativa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","",""
"Soria","Tentativa no consumada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Valladolid","No hubo tentativa","","","","","","","","1.0","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","2.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","",""
"Valladolid","Suicidio consumado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Valladolid","Tentativa no consumada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","",""
"Zamora","No hubo tentativa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Zamora","Suicidio consumado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Albacete","No hubo tentativa","","","","","1.0","","","","","","","","","","","","1.0","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","",""
"Albacete","Suicidio consumado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
